,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2084,0.400000006,0.07,13.93000031,28,"פירות, קוקטייל, מבושלים או משומרים, בסירופ קל",57.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2085,0.469999999,0.100000001,17.10000038,28,"פירות, קוקטייל, מבושלים או משומרים, ללא נוזלים",70.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2086,0.460000008,0.01,10.85999966,28,"פירות, קוקטייל, מבושלים או משומרים, במיץ",46.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2087,1.593770504,10.5893116,9.898524284,19,סלט וולדורף על בסיס מיונז,141.0024567,לא סווג
2088,1.697191,9.172519684,9.761797905,19,סלט וולדורף על בסיס שמנת,127.9478302,לא סווג
2089,1.269999981,2.019999981,26.79000092,20,"תפוח עץ, מסוכר",129.0,1.3 דגנים לא מלאים
2090,1.753896117,11.26055145,3.089025974,7,סלט אבוקדו,130.9805145,6.1 מוצרי חלב לא ממותקים 6.4 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
2091,1.379999995,0.300000012,36.93000031,20,צ'טני,150.0,1.3 דגנים לא מלאים
2092,3.432038307,11.13745499,2.777729034,7,סלט אבוקדו עם ביצה,134.3912506,6.1 מוצרי חלב לא ממותקים 6.4 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
2093,5.882130146,15.30845261,1.932107568,25,"ממרח אבוקדו, ביצים ומיונז",176.4887848,לא סווג
2094,1.200000048,0.100000001,19.20000076,14,"גלידת שרבט בטעם פירות, לא כולל פרי הדר, כולל בן & ג'ריס",87.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
2095,0.5,0.0,23.06999969,20,"גלידת שרבט פירות, בטעם פרי הדר",95.0,1.3 דגנים לא מלאים
2096,0.0,0.0,31.10000038,20,"גלידה, שרבט פירות, נסטלה",132.0,1.3 דגנים לא מלאים
2097,1.0,2.0,46.20000076,21,"קרחון סורבה, 30% פרי, שייק פרי/אסקימו פרי, פלדמן, שטראוס",207.0,1.2 דברי מאפה (לחמים) מדגן מלא
2098,0.100000001,0.400000006,21.29999924,20,"גלידה, שרבט בטעם פירות, 30% פרי, איילנד, פלדמן",89.0,1.3 דגנים לא מלאים
2099,0.100000001,0.0,12.0,28,"מיץ תפוחים, משקה סיידר הגליל",48.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2100,0.300000012,0.367000014,12.12425041,28,"מיץ אגס קיווי, פריגת",53.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2101,1.0,0.300000012,10.5,28,"מיץ רימונים, גניר, פריניב",48.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2102,0.100000001,0.129999995,11.10000038,28,מיץ תפוחים,46.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2103,0.100000001,0.0,13.5,28,"מיץ תפוחים סחוט, פריגת",54.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2104,0.5,0.0,11.5,28,"מיץ תפוחים צלול ,פרימור, פריניב",48.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2105,0.389999986,0.129999995,12.10000038,28,"מיץ אוכמניות-קרנברי, לא ממותק",46.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2106,0.0,0.100000001,13.52000046,28,נקטר חמוציות כולל Ocean Spray,54.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2107,0.0,0.0,3.200000048,16,נקטר חמוציות דיאט,15.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2108,0.370000005,0.129999995,14.56999969,28,"מיץ ענבים, ללא תוספת סוכר",60.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2109,0.200000003,0.0,20.5,14,"מיץ ענבים, אדום/לבן,תירוש, כרמל מזרחי, מטיב",88.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
